MNO,Code,Latitude,Longitude
Telefonica,4400089,40.148192,-1.038708
Orange,MADR6450A,40.419914,-3.800908
Telefonica,0100055,43.07855,-3.047544
Telefonica,1801451,37.173122,-3.599711
Telefonica,4400018,40.991489,-1.030467
Telefonica,3500395,28.098694,-15.420194
Vodafone,01899,36.717686,-4.241958
Telefonica,2800647,40.525408,-3.660817
Telefonica,2805232,40.297636,-3.818058
Telefonica,2500365,41.610575,1.143111
Telefonica,2300065,38.306594,-2.914433
Vodafone,06536,41.582819,2.544147
Telefonica,0302389,38.396706,-0.522358
Telefonica,2804683,40.634419,-4.010156
Telefonica,4900247,41.449728,-6.065167
Orange,ANDR6190A,36.90175,-3.423722
Vodafone,69081,40.425578,-3.684681
Telefonica,2900948,36.495939,-4.697814
Telefonica,1500397,42.873528,-8.548667
Telefonica,0701118,39.520072,2.827564
Telefonica,4200162,41.660608,-3.158886
Telefonica,5000782,41.941931,-0.756647
Vodafone,203093,40.409969,-3.693589
Telefonica,4500727,39.582917,-3.875667
Telefonica,3500344,28.124414,-15.431694
Telefonica,4100482,37.069864,-5.916364
Telefonica,2100472,37.046458,-6.566411
Vodafone,205842,42.473894,-8.924531
Telefonica,0804651,41.547156,2.041339
Telefonica,4500097,39.44875,-5.023667
Telefonica,4101594,37.519578,-5.84135
Telefonica,1101181,36.158567,-5.465397
Telefonica,3001171,38.024833,-1.090992
Telefonica,4300519,41.075833,1.139278
Telefonica,2200439,42.139278,-0.415308
Telefonica,4601423,38.969392,-0.179153
Telefonica,2700070,43.690028,-7.546972
Telefonica,4100186,37.256028,-4.913722
Telefonica,1300088,39.207167,-4.411192
Telefonica,1200216,40.247717,-0.290531
Telefonica,3900548,42.946811,-4.1023
Telefonica,4600494,39.424503,-0.376539
Telefonica,4800230,43.260522,-2.938742
Telefonica,1900327,40.76965,-2.029842
Telefonica,3700431,40.519708,-5.495717
Telefonica,3500229,28.138031,-15.435131
Telefonica,4000025,41.028886,-4.182722
Telefonica,0701716,39.497633,2.878078
Telefonica,4300577,41.159642,1.122953
Telefonica,0600488,38.239056,-6.018556
Orange,PVAR0351A,43.290975,-2.963064
Telefonica,2805162,40.875767,-3.599083
Vodafone,68165,37.405464,-1.600906
Telefonica,1400111,38.312522,-5.284975
Telefonica,4800382,43.331214,-3.127333
Vodafone,01606,37.012142,-4.565833
Orange,ANDR0051B,37.424211,-5.984681
Vodafone,79799,36.468958,-6.167944
Telefonica,0900713,42.249917,-4.20175
Telefonica,2300206,37.660694,-4.068611
Telefonica,5000126,41.229722,-0.0303
Telefonica,1500384,43.379333,-8.400889
Vodafone,120424,38.336819,-0.507328
Telefonica,2806335,40.457239,-3.618922
Telefonica,4000124,40.90705,-4.105422
Telefonica,2805917,40.436417,-3.706839
Masmovil,1B4CS5759,39.98045,-0.037897
Telefonica,3900322,43.334294,-3.477892
Orange,GALR0226F,42.837556,-8.598167
Telefonica,2700125,42.612639,-7.73725
Telefonica,0700321,39.553678,2.627019
Orange,CATR0392Z,41.400286,2.202539
Telefonica,1700600,42.227808,2.861633
Telefonica,5000722,42.122392,-0.805514
Telefonica,3600129,42.586906,-8.5904
Telefonica,3700039,40.60095,-6.818483
Vodafone,106724,38.848061,-0.146719
Telefonica,1000131,39.467611,-6.373806
Telefonica,3001064,37.408614,-1.588531
Telefonica,3501237,28.120906,-15.455953
Telefonica,3800194,28.638778,-17.759333
Telefonica,1200829,40.048286,0.06825
Telefonica,0500051,40.930228,-4.946639
Orange,VALR8714A,38.367081,-0.469069
Telefonica,3400065,41.998994,-4.506961
Orange,CANR0112A,28.058114,-15.439836
Telefonica,2800692,40.686025,-4.117592
Vodafone,31,41.883606,2.477281
Telefonica,3200065,42.287656,-7.845903
Vodafone,82268,42.984892,-7.588944
Telefonica,3800021,28.082744,-17.136519
Telefonica,1501364,43.316389,-8.506111
Telefonica,1000606,40.043919,-6.068781
Telefonica,1600376,39.59615,-2.539514
Telefonica,3900190,43.303356,-3.582842
Telefonica,0805552,41.621683,2.690219
Telefonica,0801826,41.388025,2.172211
Telefonica,5001423,41.61575,-1.062508
Vodafone,62732,39.447206,-0.380861
Telefonica,0800178,41.759019,2.394753
Telefonica,3500123,28.007922,-15.527833
Telefonica,3800804,28.418111,-16.548944
Telefonica,3200142,42.240117,-7.826486
Vodafone,00176,40.469806,-3.647903
Telefonica,0803593,41.5552,2.08965
Telefonica,2200093,42.601333,0.542944
Vodafone,74216,39.477883,-0.444858
Telefonica,3200127,42.520564,-8.267269
Telefonica,2700450,42.985772,-7.589303
Telefonica,2200044,42.420194,0.090333
Telefonica,3900276,43.119169,-3.819944
Telefonica,0900639,42.35675,-3.649611
Telefonica,2000833,43.319186,-1.975358
Orange,PVAR5805A,42.936231,-2.238056
Telefonica,1801448,37.347853,-3.333142
Telefonica,2800033,40.473031,-3.870328
Telefonica,0200414,38.551347,-2.121336
Telefonica,0700007,39.536153,2.71875
Orange,MADR4011A,40.448628,-3.800186
Telefonica,4400187,40.950961,-0.708189
Telefonica,0800011,41.640322,2.647067
Telefonica,1400176,37.878208,-4.783639
Vodafone,205481,41.354586,2.103667
Telefonica,0700468,39.646478,2.677289
Telefonica,4601775,39.550381,-0.305314
Telefonica,3800305,28.71125,-17.953389
Telefonica,2901580,36.727428,-4.410892
Telefonica,2800508,40.931625,-3.622742
Telefonica,1000091,40.229297,-6.880906
Telefonica,0400035,36.826747,-2.529667
Telefonica,1000081,40.154075,-6.685553
Telefonica,0801789,41.398244,2.141303
Telefonica,2803692,40.306108,-3.731803
Telefonica,3100269,42.82015,-1.572086
Vodafone,29043,43.435517,-3.835311
Telefonica,4700004,41.730228,-5.20365
Telefonica,2500554,42.000472,0.767806
Orange,PVAR9121A,42.961758,-2.893464
Orange,NAVR6004A,42.806997,-1.673294
Telefonica,0700131,39.003172,1.580228
Telefonica,4101759,37.614033,-5.828675
Orange,BALR0200F,39.581292,2.651847
Orange,VALR0036A,39.484869,-0.38265
Telefonica,2802000,40.880222,-3.592233
Telefonica,4300120,40.977589,0.516694
Orange,MURR0161W,37.981336,-1.118314
Telefonica,2800987,40.422242,-3.688564
Vodafone,76244,41.409928,2.116011
Telefonica,2400251,42.342583,-5.159639
Telefonica,0400283,37.023064,-3.005681
Orange,CTBR9003A,43.468783,-3.765658
Telefonica,0800656,41.474758,2.025453
Telefonica,2901213,36.741006,-4.557036
Telefonica,4603525,39.618558,-0.571811
Orange,CLMR9392A,40.622003,-3.165697
